id,name
pos_392,risk_management
pos_393,sales_representative
pos_394,publisher
pos_395,publish
pos_396,sqe_or_quality_or_project_or_software
pos_397,and_level_engineer_tmanager
pos_398,clinical_trial_specialist
pos_399,global_trial_managementcta
pos_400,clinical_document_associate
pos_401,clinical_project_assistant
pos_402,clinical_trial_assistant
pos_403,clinical_documentation_coordinator
pos_404,clinical_project_associate/tmf_specialist
pos_405,clinical_study_associate
pos_406,clinical_contract_coordinator
pos_407,qe_or_quality_or_engineer
pos_408,programmer
pos_409,engineer_or_developer_or_programmer
pos_410,recruit
pos_411,trial_document_specialist
pos_412,clincal_trial
pos_413,cta
pos_414,clinical_study
pos_415,clinical_research
pos_416,human_resources
pos_417,server
pos_418,bartender
pos_419,staff
pos_420,sales_associate
pos_421,regional_cra
pos_422,site_manager
pos_423,control_engineer
pos_424,level_manager_or_above
pos_425,sr_cra
pos_426,clinical_research_associate_ii
pos_427,clinical_trial_management_associate
pos_428,regional_sr_cra
pos_429,contract_clinical_research_associate
pos_430,level_engineer
pos_431,data_science_analyst
pos_432,systems
pos_433,benefit_manager
pos_434,benefit_and_wellness
pos_435,pr_managers
pos_436,public_relations_manager
pos_437,media_relations
pos_438,senior_media_relations
pos_439,md
pos_440,medical_license
pos_441,medical_doctor
pos_442,medical_director
pos_443,salesforce_administrator
pos_444,fullstack_engineer
pos_445,director_of_digital_market
pos_446,director_market
pos_447,vp_market
pos_448,vice_president_market
pos_449,vice_president_digital_market
pos_450,copywriting
pos_451,write
pos_452,writer
pos_453,content
pos_454,safety
pos_455,acd
pos_456,visual_designer
pos_457,java_developer
pos_458,contract
pos_459,budget
pos_460,outsource
pos_461,grant
pos_462,category
pos_463,site_initiation
pos_464,procurement
pos_465,negotiator
pos_466,agreements
pos_467,payment
pos_468,account_supervisor
pos_469,brand_manager
pos_470,3d_artist
pos_471,concept_artist
pos_472,game_concept_artist
pos_473,environmental_artist
pos_474,freelance_concept_artist
pos_475,contract_concept_artist
pos_476,key_account
pos_477,head_of_sales
pos_478,head_of_business
pos_479,business_head
pos_480,apac_lead
pos_481,apac_manager
pos_482,apac_director
pos_483,svp
pos_484,global
pos_485,insights_analyst
pos_486,customer_analytics
pos_487,account
pos_488,data_manager
pos_489,trial_data_manager
pos_490,clinical_data_manager
pos_491,manager_data_management
pos_492,study_data_manager
pos_493,cdm
pos_494,project_data_manager
pos_495,clinical_trial_associate
pos_496,lead_and
pos_497,ra_level_manager_or_above
pos_498,cls
pos_499,clinical_laboratory_scientist
pos_500,medical_laboratory_technician
pos_501,medical_laboratory_scientist
pos_502,project_manager_or_qa_manager
pos_503,quality_engineer_or_qa_or_qe
pos_504,human_resource_management
pos_505,production
pos_506,level_engineer_tmanager
pos_507,source
pos_508,strategic_partner
pos_509,strategic_partnership
pos_510,patient_safety
pos_511,safety_review
pos_512,safety_surveillance
pos_513,producer
pos_514,compensation_analyst
pos_515,comp_analyst
pos_516,account_development_representative
pos_517,od
pos_518,learn_and_development
pos_519,landd
pos_520,talent_development
pos_521,talent
pos_522,talent_manager
pos_523,weapons_artist
pos_524,planner
pos_525,supply_chain_coordinator
pos_526,supply_chain_specialist
pos_527,customer_service
pos_528,digital_asset_management
pos_529,quantitative_analyst
pos_530,tool
pos_531,engine
pos_532,commercial_analyst
pos_533,sales_analyst
pos_534,business_intelligence_analyst
pos_535,bi_analyst
pos_536,mission_designer
pos_537,level_designer
pos_538,software_programmer
pos_539,render_programmer
pos_540,renderer_programmer
pos_541,renderer_engineer
pos_542,digital_market
pos_543,product_management
pos_544,quality_control
pos_545,web/digital_project_manager
pos_546,engine_engineer
pos_547,engine_software_engineer
pos_548,engine_programmer
pos_549,engine_developer
pos_550,procurement_director
pos_551,purchase_director
pos_552,account_payable_director
pos_553,sr_tool_engineer
pos_554,tool_programmer
pos_555,software_development
pos_556,contract_manager
pos_557,outsource_analyst
pos_558,clinical_contract_manager
pos_559,clinical_outsource_manager
pos_560,fpanda
pos_561,commercial_finance
pos_562,finance_plan_and_analyst
pos_563,manager_budget_and_control
pos_564,customer_finance_manager
pos_565,interactive_project_manager
pos_566,technical_program_manager
pos_567,clinical_study_specialist
pos_568,creative_manager
pos_569,creative_production_manager
pos_570,web_design_producer
pos_571,ceo
pos_572,qa_level_director_or_above
pos_573,qs_manager
pos_574,it_manager
pos_575,world_artist
pos_576,environment_artist
pos_577,all_level
pos_578,senior_media_buyer
pos_579,digital_media_buyer
pos_580,technical_artist
pos_581,distribute_systems_engineer
pos_582,art_department_director
pos_583,art_manager
